"﻿""GEO_ID""",NAME,DP05_0068E,DP05_0069E,DP05_0070E,DP05_0071E,DP05_0072E,DP05_0073E,DP05_0074E,DP05_0075E,DP05_0076E,DP05_0081E,DP05_0082E,DP05_0033PE,DP05_0069PE,DP05_0070PE,DP05_0071PE,DP05_0071PM,DP05_0072PE,DP05_0073PE,DP05_0074PE,DP05_0076PE,DP05_0081PE
Geography,Geographic Area Name,Estimate!!Race alone or in combination with one or more other races!!Total population,Estimate!!Race alone or in combination with one or more other races!!Total population!!White,Estimate!!Race alone or in combination with one or more other races!!Total population!!Black or African American,Estimate!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,Estimate!!Race alone or in combination with one or more other races!!Total population!!Asian,Estimate!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Estimate!!Race alone or in combination with one or more other races!!Total population!!Some Other Race,Estimate!!HISPANIC OR LATINO AND RACE!!Total population,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,Percent!!RACE!!Total population,Percent!!Race alone or in combination with one or more other races!!Total population!!White,Percent!!Race alone or in combination with one or more other races!!Total population!!Black or African American,Percent!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,Percent Margin of Error!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,Percent!!Race alone or in combination with one or more other races!!Total population!!Asian,Percent!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Percent!!Race alone or in combination with one or more other races!!Total population!!Some Other Race,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino
0500000US06037,"Los Angeles County, California",9848406,5010533,927348,266083,1689402,57803,3644809,9848406,4753369,5095037,2477324,9848406,50.9,9.4,2.7,0.1,17.2,0.6,37,48.3,51.7
1400000US06037111302,Census Tract 1113.02; Los Angeles County; California,4967,2757,361,135,1100,178,1314,4967,1425,3542,2123,4967,55.5,7.3,2.7,1.9,22.1,3.6,26.5,28.7,71.3
1400000US06037111303,Census Tract 1113.03; Los Angeles County; California,4567,3373,186,16,858,0,1042,4567,1343,3224,2306,4567,73.9,4.1,0.4,0.5,18.8,0,22.8,29.4,70.6
1400000US06037111304,Census Tract 1113.04; Los Angeles County; California,3082,884,538,99,610,0,1658,3082,1520,1562,351,3082,28.7,17.5,3.2,2.8,19.8,0,53.8,49.3,50.7
1400000US06037111401,Census Tract 1114.01; Los Angeles County; California,2193,1357,93,88,403,0,659,2193,870,1323,835,2193,61.9,4.2,4,3,18.4,0,30.1,39.7,60.3
1400000US06037111402,Census Tract 1114.02; Los Angeles County; California,5998,3895,18,49,990,0,1603,5998,2322,3676,2685,5998,64.9,0.3,0.8,0.9,16.5,0,26.7,38.7,61.3
1400000US06037113101,Census Tract 1131.01; Los Angeles County; California,3540,2576,141,33,621,36,409,3540,553,2987,2174,3540,72.8,4,0.9,0.9,17.5,1,11.6,15.6,84.4
1400000US06037113102,Census Tract 1131.02; Los Angeles County; California,2980,2208,58,0,896,0,434,2980,646,2334,1316,2980,74.1,1.9,0,1.4,30.1,0,14.6,21.7,78.3
1400000US06037113211,Census Tract 1132.11; Los Angeles County; California,4138,2419,632,6,872,0,543,4138,659,3479,1937,4138,58.5,15.3,0.1,0.2,21.1,0,13.1,15.9,84.1
1400000US06037113212,Census Tract 1132.12; Los Angeles County; California,2872,1617,284,109,907,0,533,2872,764,2108,1030,2872,56.3,9.9,3.8,3.6,31.6,0,18.6,26.6,73.4
1400000US06037113213,Census Tract 1132.13; Los Angeles County; California,5068,2943,415,278,1227,0,1296,5068,1683,3385,1847,5068,58.1,8.2,5.5,5.5,24.2,0,25.6,33.2,66.8
1400000US06037113231,Census Tract 1132.31; Los Angeles County; California,2233,1805,191,19,253,31,367,2233,311,1922,1381,2233,80.8,8.6,0.9,0.8,11.3,1.4,16.4,13.9,86.1
1400000US06037113232,Census Tract 1132.32; Los Angeles County; California,4777,3399,315,27,958,167,698,4777,915,3862,2499,4777,71.2,6.6,0.6,0.9,20.1,3.5,14.6,19.2,80.8
1400000US06037113234,Census Tract 1132.34; Los Angeles County; California,5640,2033,496,255,807,0,2794,5640,3416,2224,1090,5640,36,8.8,4.5,6.9,14.3,0,49.5,60.6,39.4
1400000US06037113235,Census Tract 1132.35; Los Angeles County; California,1690,1195,139,28,159,25,551,1690,529,1161,836,1690,70.7,8.2,1.7,1.3,9.4,1.5,32.6,31.3,68.7
1400000US06037113237,Census Tract 1132.37; Los Angeles County; California,4765,2622,495,157,1410,10,752,4765,1291,3474,1924,4765,55,10.4,3.3,2.4,29.6,0.2,15.8,27.1,72.9
1400000US06037113238,Census Tract 1132.38; Los Angeles County; California,4596,1907,542,0,1020,0,1986,4596,2490,2106,750,4596,41.5,11.8,0,0.9,22.2,0,43.2,54.2,45.8
1400000US06037113239,Census Tract 1132.39; Los Angeles County; California,2134,743,115,30,274,12,1101,2134,1224,910,485,2134,34.8,5.4,1.4,1.4,12.8,0.6,51.6,57.4,42.6
1400000US06037113301,Census Tract 1133.01; Los Angeles County; California,4255,2710,133,61,1252,57,336,4255,708,3547,2214,4255,63.7,3.1,1.4,1.4,29.4,1.3,7.9,16.6,83.4
1400000US06037113303,Census Tract 1133.03; Los Angeles County; California,3799,2103,218,95,1084,29,1037,3799,1438,2361,1088,3799,55.4,5.7,2.5,1.8,28.5,0.8,27.3,37.9,62.1
1400000US06037113322,Census Tract 1133.22; Los Angeles County; California,4761,3107,721,43,656,0,839,4761,1207,3554,2268,4761,65.3,15.1,0.9,0.8,13.8,0,17.6,25.4,74.6
1400000US06037113323,Census Tract 1133.23; Los Angeles County; California,3904,1906,189,42,807,16,1587,3904,1874,2030,1094,3904,48.8,4.8,1.1,1.4,20.7,0.4,40.7,48,52
1400000US06037113324,Census Tract 1133.24; Los Angeles County; California,2837,2046,301,0,366,0,1051,2837,1548,1289,645,2837,72.1,10.6,0,1.5,12.9,0,37,54.6,45.4
1400000US06037113423,Census Tract 1134.23; Los Angeles County; California,2845,1525,113,51,280,0,1406,2845,1674,1171,785,2845,53.6,4,1.8,1.7,9.8,0,49.4,58.8,41.2
1400000US06037113424,Census Tract 1134.24; Los Angeles County; California,3133,1485,100,53,497,0,1357,3133,1530,1603,941,3133,47.4,3.2,1.7,2.1,15.9,0,43.3,48.8,51.2
1400000US06037113425,Census Tract 1134.25; Los Angeles County; California,4254,1575,362,19,675,14,2154,4254,2654,1600,572,4254,37,8.5,0.4,0.7,15.9,0.3,50.6,62.4,37.6
1400000US06037113426,Census Tract 1134.26; Los Angeles County; California,2302,1198,49,0,572,0,1030,2302,1036,1266,669,2302,52,2.1,0,1.8,24.8,0,44.7,45,55
1400000US06037113427,Census Tract 1134.27; Los Angeles County; California,2386,754,208,22,371,0,1212,2386,1366,1020,441,2386,31.6,8.7,0.9,2,15.5,0,50.8,57.3,42.7
