geoid,name,B01003001,"B01003001, Error"
15000US060371070201,"BG 1, Tract 1070.20, Los Angeles, CA",1311,568
15000US060371070202,"BG 2, Tract 1070.20, Los Angeles, CA",896,394
15000US060371070203,"BG 3, Tract 1070.20, Los Angeles, CA",1893,1123
15000US060371070204,"BG 4, Tract 1070.20, Los Angeles, CA",821,319
15000US060371081011,"BG 1, Tract 1081.01, Los Angeles, CA",2128,344
15000US060371081021,"BG 1, Tract 1081.02, Los Angeles, CA",1062,387
15000US060371081022,"BG 2, Tract 1081.02, Los Angeles, CA",994,367
15000US060371081023,"BG 3, Tract 1081.02, Los Angeles, CA",1421,321
15000US060371081031,"BG 1, Tract 1081.03, Los Angeles, CA",1365,399
15000US060371081032,"BG 2, Tract 1081.03, Los Angeles, CA",1688,487
15000US060371081041,"BG 1, Tract 1081.04, Los Angeles, CA",1754,386
15000US060371082021,"BG 1, Tract 1082.02, Los Angeles, CA",2532,605
15000US060371082022,"BG 2, Tract 1082.02, Los Angeles, CA",3662,697
15000US060371082023,"BG 3, Tract 1082.02, Los Angeles, CA",4054,1605
15000US060371082031,"BG 1, Tract 1082.03, Los Angeles, CA",2084,317
15000US060371082032,"BG 2, Tract 1082.03, Los Angeles, CA",1073,306
15000US060371082041,"BG 1, Tract 1082.04, Los Angeles, CA",1782,315
15000US060371091001,"BG 1, Tract 1091, Los Angeles, CA",1077,246
15000US060371091002,"BG 2, Tract 1091, Los Angeles, CA",1784,326
15000US060371092001,"BG 1, Tract 1092, Los Angeles, CA",1152,542
15000US060371092002,"BG 2, Tract 1092, Los Angeles, CA",1056,299
15000US060371092003,"BG 3, Tract 1092, Los Angeles, CA",655,251
15000US060371093001,"BG 1, Tract 1093, Los Angeles, CA",874,321
15000US060371093002,"BG 2, Tract 1093, Los Angeles, CA",1345,208
15000US060371093003,"BG 3, Tract 1093, Los Angeles, CA",686,207
15000US060371094001,"BG 1, Tract 1094, Los Angeles, CA",509,307
15000US060371094002,"BG 2, Tract 1094, Los Angeles, CA",1796,657
15000US060371094003,"BG 3, Tract 1094, Los Angeles, CA",1315,413
15000US060371095001,"BG 1, Tract 1095, Los Angeles, CA",816,262
15000US060371095002,"BG 2, Tract 1095, Los Angeles, CA",2299,531
15000US060371095003,"BG 3, Tract 1095, Los Angeles, CA",792,626
15000US060371096011,"BG 1, Tract 1096.01, Los Angeles, CA",1296,456
15000US060371096012,"BG 2, Tract 1096.01, Los Angeles, CA",1106,601
15000US060371096013,"BG 3, Tract 1096.01, Los Angeles, CA",967,505
15000US060371096014,"BG 4, Tract 1096.01, Los Angeles, CA",1673,483
15000US060371096031,"BG 1, Tract 1096.03, Los Angeles, CA",1038,338
15000US060371096032,"BG 2, Tract 1096.03, Los Angeles, CA",1205,333
15000US060371096033,"BG 3, Tract 1096.03, Los Angeles, CA",1795,929
15000US060371096041,"BG 1, Tract 1096.04, Los Angeles, CA",863,250
15000US060371096042,"BG 2, Tract 1096.04, Los Angeles, CA",789,272
15000US060371096043,"BG 3, Tract 1096.04, Los Angeles, CA",1069,286
15000US060371097001,"BG 1, Tract 1097, Los Angeles, CA",1587,476
15000US060371097002,"BG 2, Tract 1097, Los Angeles, CA",1774,470
15000US060371097003,"BG 3, Tract 1097, Los Angeles, CA",898,384
15000US060371098001,"BG 1, Tract 1098, Los Angeles, CA",1464,427
15000US060371098002,"BG 2, Tract 1098, Los Angeles, CA",800,296
15000US060371098003,"BG 3, Tract 1098, Los Angeles, CA",1293,352
15000US060371098004,"BG 4, Tract 1098, Los Angeles, CA",1068,535
15000US060371111001,"BG 1, Tract 1111, Los Angeles, CA",1077,278
15000US060371111002,"BG 2, Tract 1111, Los Angeles, CA",1888,361
15000US060371112011,"BG 1, Tract 1112.01, Los Angeles, CA",1001,310
15000US060371112012,"BG 2, Tract 1112.01, Los Angeles, CA",1768,725
15000US060371112013,"BG 3, Tract 1112.01, Los Angeles, CA",506,194
15000US060371112021,"BG 1, Tract 1112.02, Los Angeles, CA",1563,928
15000US060371112022,"BG 2, Tract 1112.02, Los Angeles, CA",1565,667
15000US060371112023,"BG 3, Tract 1112.02, Los Angeles, CA",2614,502
15000US060371112041,"BG 1, Tract 1112.04, Los Angeles, CA",2626,580
15000US060371112042,"BG 2, Tract 1112.04, Los Angeles, CA",2166,696
15000US060371112043,"BG 3, Tract 1112.04, Los Angeles, CA",1110,251
15000US060371112051,"BG 1, Tract 1112.05, Los Angeles, CA",1509,387
15000US060371112052,"BG 2, Tract 1112.05, Los Angeles, CA",879,267
15000US060371112053,"BG 3, Tract 1112.05, Los Angeles, CA",1239,833
15000US060371112061,"BG 1, Tract 1112.06, Los Angeles, CA",1066,341
15000US060371112062,"BG 2, Tract 1112.06, Los Angeles, CA",637,198
15000US060371112063,"BG 3, Tract 1112.06, Los Angeles, CA",787,304
15000US060371112064,"BG 4, Tract 1112.06, Los Angeles, CA",699,214
15000US060371112065,"BG 5, Tract 1112.06, Los Angeles, CA",1106,241
15000US060371113021,"BG 1, Tract 1113.02, Los Angeles, CA",1435,472
15000US060371113022,"BG 2, Tract 1113.02, Los Angeles, CA",1113,287
15000US060371113023,"BG 3, Tract 1113.02, Los Angeles, CA",1354,356
15000US060371113024,"BG 4, Tract 1113.02, Los Angeles, CA",1065,435
15000US060371113031,"BG 1, Tract 1113.03, Los Angeles, CA",1874,440
15000US060371113032,"BG 2, Tract 1113.03, Los Angeles, CA",2693,555
15000US060371113041,"BG 1, Tract 1113.04, Los Angeles, CA",1096,350
15000US060371113042,"BG 2, Tract 1113.04, Los Angeles, CA",1986,579
15000US060371114011,"BG 1, Tract 1114.01, Los Angeles, CA",2193,386
15000US060371114021,"BG 1, Tract 1114.02, Los Angeles, CA",2175,855
15000US060371114022,"BG 2, Tract 1114.02, Los Angeles, CA",2036,546
15000US060371114023,"BG 3, Tract 1114.02, Los Angeles, CA",1787,753
