Label (Grouping);Total:;    White alone;    Black or African American alone;    American Indian and Alaska Native alone;    Asian alone;    Native Hawaiian and Other Pacific Islander alone;    Some Other Race alone;    Two or More Races:;        Two races including Some Other Race;        Two races excluding Some Other Race, and three or more races
"Block Group 1; Census Tract 1011.10; Los Angeles County; California!!Estimate";1.415;822;91;0;68;0;109;325;193;132
"Block Group 1; Census Tract 1011.10; Los Angeles County; California!!Margin of Error";±353;±292;±143;±13;±52;±13;±155;±214;±178;±94
"Block Group 2; Census Tract 1011.10; Los Angeles County; California!!Estimate";1.826;1.053;30;8;265;0;279;191;115;76
"Block Group 2; Census Tract 1011.10; Los Angeles County; California!!Margin of Error";±379;±258;±41;±16;±142;±13;±254;±112;±93;±63
"Block Group 3; Census Tract 1011.10; Los Angeles County; California!!Estimate";773;551;40;0;57;0;9;116;102;14
"Block Group 3; Census Tract 1011.10; Los Angeles County; California!!Margin of Error";±299;±252;±57;±13;±54;±13;±15;±112;±109;±19
"Block Group 1; Census Tract 1011.22; Los Angeles County; California!!Estimate";2.754;2.070;68;0;375;0;84;157;41;116
"Block Group 1; Census Tract 1011.22; Los Angeles County; California!!Margin of Error";±844;±796;±85;±13;±212;±13;±84;±136;±52;±121
"Block Group 2; Census Tract 1011.22; Los Angeles County; California!!Estimate";1.410;839;8;22;207;0;156;178;82;96
"Block Group 2; Census Tract 1011.22; Los Angeles County; California!!Margin of Error";±374;±254;±14;±38;±190;±13;±139;±114;±84;±79
"Block Group 1; Census Tract 1012.20; Los Angeles County; California!!Estimate";1.307;727;0;0;176;0;155;249;194;55
"Block Group 1; Census Tract 1012.20; Los Angeles County; California!!Margin of Error";±278;±227;±13;±13;±121;±13;±217;±215;±210;±52
"Block Group 2; Census Tract 1012.20; Los Angeles County; California!!Estimate";2.174;1.177;0;87;257;0;314;339;308;31
"Block Group 2; Census Tract 1012.20; Los Angeles County; California!!Margin of Error";±432;±261;±13;±101;±166;±13;±238;±242;±239;±33
"Block Group 1; Census Tract 1012.21; Los Angeles County; California!!Estimate";1.011;447;0;0;193;0;243;128;128;0
"Block Group 1; Census Tract 1012.21; Los Angeles County; California!!Margin of Error";±359;±246;±13;±13;±188;±13;±252;±136;±136;±13
"Block Group 2; Census Tract 1012.21; Los Angeles County; California!!Estimate";2.745;1.734;101;35;121;0;468;286;226;60
"Block Group 2; Census Tract 1012.21; Los Angeles County; California!!Margin of Error";±670;±627;±82;±59;±109;±13;±306;±225;±204;±73
"Block Group 1; Census Tract 1012.22; Los Angeles County; California!!Estimate";2.808;1.525;15;74;138;37;45;974;887;87
"Block Group 1; Census Tract 1012.22; Los Angeles County; California!!Margin of Error";±424;±553;±26;±113;±164;±61;±68;±589;±445;±192
"Block Group 1; Census Tract 1013; Los Angeles County; California!!Estimate";1.080;814;40;0;38;0;152;36;18;18
"Block Group 1; Census Tract 1013; Los Angeles County; California!!Margin of Error";±341;±320;±64;±13;±40;±13;±162;±41;±30;±28
"Block Group 2; Census Tract 1013; Los Angeles County; California!!Estimate";980;666;26;0;152;0;10;126;80;46
"Block Group 2; Census Tract 1013; Los Angeles County; California!!Margin of Error";±363;±321;±32;±13;±103;±13;±22;±90;±76;±43
"Block Group 3; Census Tract 1013; Los Angeles County; California!!Estimate";1.077;1.001;0;0;9;0;12;55;44;11
"Block Group 3; Census Tract 1013; Los Angeles County; California!!Margin of Error";±283;±268;±13;±13;±14;±13;±21;±58;±56;±18
"Block Group 4; Census Tract 1013; Los Angeles County; California!!Estimate";934;737;0;0;11;0;0;186;46;140
"Block Group 4; Census Tract 1013; Los Angeles County; California!!Margin of Error";±346;±316;±13;±13;±18;±13;±13;±139;±50;±133
"Block Group 1; Census Tract 1014; Los Angeles County; California!!Estimate";1.079;677;0;0;137;0;246;19;0;19
"Block Group 1; Census Tract 1014; Los Angeles County; California!!Margin of Error";±361;±304;±13;±13;±129;±13;±235;±37;±13;±37
"Block Group 2; Census Tract 1014; Los Angeles County; California!!Estimate";1.113;646;47;0;141;0;58;221;135;86
"Block Group 2; Census Tract 1014; Los Angeles County; California!!Margin of Error";±335;±201;±71;±13;±118;±13;±59;±241;±179;±71
"Block Group 3; Census Tract 1014; Los Angeles County; California!!Estimate";1.298;846;12;0;113;0;0;327;103;224
"Block Group 3; Census Tract 1014; Los Angeles County; California!!Margin of Error";±299;±286;±22;±13;±98;±13;±13;±280;±75;±226
"Block Group 1; Census Tract 1021.03; Los Angeles County; California!!Estimate";1.834;1.512;23;0;242;0;12;45;11;34
"Block Group 1; Census Tract 1021.03; Los Angeles County; California!!Margin of Error";±502;±494;±42;±13;±158;±13;±19;±37;±13;±33
"Block Group 1; Census Tract 1021.04; Los Angeles County; California!!Estimate";3.123;2.356;82;10;228;0;65;382;67;315
"Block Group 1; Census Tract 1021.04; Los Angeles County; California!!Margin of Error";±513;±466;±64;±21;±180;±13;±81;±179;±64;±169
"Block Group 2; Census Tract 1021.04; Los Angeles County; California!!Estimate";910;633;0;0;245;0;0;32;32;0
"Block Group 2; Census Tract 1021.04; Los Angeles County; California!!Margin of Error";±334;±292;±13;±13;±171;±13;±13;±36;±36;±13
"Block Group 1; Census Tract 1021.05; Los Angeles County; California!!Estimate";590;286;0;19;34;0;110;141;82;59
"Block Group 1; Census Tract 1021.05; Los Angeles County; California!!Margin of Error";±164;±112;±13;±31;±44;±13;±104;±105;±75;±52
"Block Group 2; Census Tract 1021.05; Los Angeles County; California!!Estimate";1.020;222;9;0;73;6;311;399;379;20
"Block Group 2; Census Tract 1021.05; Los Angeles County; California!!Margin of Error";±332;±142;±18;±13;±68;±16;±156;±299;±299;±30
"Block Group 1; Census Tract 1021.07; Los Angeles County; California!!Estimate";2.450;1.728;10;0;305;0;93;314;218;96
"Block Group 1; Census Tract 1021.07; Los Angeles County; California!!Margin of Error";±408;±398;±13;±13;±196;±13;±55;±137;±156;±107
"Block Group 2; Census Tract 1021.07; Los Angeles County; California!!Estimate";1.127;843;13;0;51;0;62;158;89;69
"Block Group 2; Census Tract 1021.07; Los Angeles County; California!!Margin of Error";±591;±580;±23;±13;±59;±13;±70;±128;±85;±93
"Block Group 1; Census Tract 1031.01; Los Angeles County; California!!Estimate";1.555;1.009;40;0;181;0;206;119;75;44
"Block Group 1; Census Tract 1031.01; Los Angeles County; California!!Margin of Error";±259;±233;±51;±13;±132;±13;±102;±59;±43;±30
"Block Group 2; Census Tract 1031.01; Los Angeles County; California!!Estimate";1.171;868;0;0;21;0;13;269;203;66
"Block Group 2; Census Tract 1031.01; Los Angeles County; California!!Margin of Error";±386;±291;±13;±13;±24;±13;±20;±193;±182;±77
"Block Group 1; Census Tract 1031.02; Los Angeles County; California!!Estimate";859;552;0;0;69;0;191;47;19;28
"Block Group 1; Census Tract 1031.02; Los Angeles County; California!!Margin of Error";±362;±267;±13;±13;±63;±13;±219;±53;±30;±46
"Block Group 2; Census Tract 1031.02; Los Angeles County; California!!Estimate";503;442;0;0;10;0;6;45;40;5
"Block Group 2; Census Tract 1031.02; Los Angeles County; California!!Margin of Error";±239;±225;±13;±13;±15;±13;±10;±54;±51;±10
"Block Group 3; Census Tract 1031.02; Los Angeles County; California!!Estimate";1.494;1.106;21;0;94;0;178;95;43;52
"Block Group 3; Census Tract 1031.02; Los Angeles County; California!!Margin of Error";±474;±389;±31;±13;±63;±13;±209;±90;±68;±60
"Block Group 4; Census Tract 1031.02; Los Angeles County; California!!Estimate";903;726;0;0;68;0;39;70;57;13
"Block Group 4; Census Tract 1031.02; Los Angeles County; California!!Margin of Error";±342;±355;±13;±13;±71;±13;±69;±83;±80;±21
"Block Group 5; Census Tract 1031.02; Los Angeles County; California!!Estimate";791;520;0;0;126;0;102;43;0;43
"Block Group 5; Census Tract 1031.02; Los Angeles County; California!!Margin of Error";±268;±205;±13;±13;±97;±13;±97;±103;±13;±103
"Block Group 1; Census Tract 1032.01; Los Angeles County; California!!Estimate";2.320;1.393;95;0;179;6;61;586;292;294
"Block Group 1; Census Tract 1032.01; Los Angeles County; California!!Margin of Error";±406;±495;±88;±13;±143;±10;±59;±364;±177;±219
"Block Group 2; Census Tract 1032.01; Los Angeles County; California!!Estimate";1.971;1.541;0;0;127;0;24;279;269;10
"Block Group 2; Census Tract 1032.01; Los Angeles County; California!!Margin of Error";±594;±527;±13;±13;±172;±13;±31;±292;±290;±18
"Block Group 1; Census Tract 1032.02; Los Angeles County; California!!Estimate";2.010;1.415;19;0;38;0;525;13;1;12
"Block Group 1; Census Tract 1032.02; Los Angeles County; California!!Margin of Error";±623;±284;±36;±13;±77;±13;±629;±20;±3;±20
"Block Group 1; Census Tract 1033; Los Angeles County; California!!Estimate";1.547;1.204;37;0;124;0;9;173;43;130
"Block Group 1; Census Tract 1033; Los Angeles County; California!!Margin of Error";±412;±355;±31;±13;±127;±13;±12;±158;±64;±143
"Block Group 2; Census Tract 1033; Los Angeles County; California!!Estimate";2.269;1.678;68;24;60;0;25;414;187;227
"Block Group 2; Census Tract 1033; Los Angeles County; California!!Margin of Error";±558;±452;±105;±34;±43;±13;±43;±244;±202;±155
"Block Group 1; Census Tract 1034.01; Los Angeles County; California!!Estimate";2.391;1.593;0;15;476;0;107;200;114;86
"Block Group 1; Census Tract 1034.01; Los Angeles County; California!!Margin of Error";±446;±464;±13;±18;±421;±13;±55;±150;±116;±86
"Block Group 1; Census Tract 1034.02; Los Angeles County; California!!Estimate";940;496;0;0;120;0;128;196;157;39
"Block Group 1; Census Tract 1034.02; Los Angeles County; California!!Margin of Error";±415;±286;±13;±13;±166;±13;±164;±248;±244;±41
"Block Group 2; Census Tract 1034.02; Los Angeles County; California!!Estimate";809;574;2;0;35;0;47;151;151;0
"Block Group 2; Census Tract 1034.02; Los Angeles County; California!!Margin of Error";±324;±294;±5;±13;±38;±13;±50;±191;±191;±13
"Block Group 3; Census Tract 1034.02; Los Angeles County; California!!Estimate";667;606;0;0;21;0;20;20;20;0
"Block Group 3; Census Tract 1034.02; Los Angeles County; California!!Margin of Error";±269;±265;±13;±13;±36;±13;±33;±32;±32;±13
"Block Group 4; Census Tract 1034.02; Los Angeles County; California!!Estimate";1.413;724;369;0;281;0;0;39;39;0
"Block Group 4; Census Tract 1034.02; Los Angeles County; California!!Margin of Error";±419;±296;±281;±13;±241;±13;±13;±46;±46;±13
"Block Group 1; Census Tract 1041.03; Los Angeles County; California!!Estimate";2.208;669;304;0;225;0;584;426;359;67
"Block Group 1; Census Tract 1041.03; Los Angeles County; California!!Margin of Error";±482;±311;±388;±13;±113;±13;±412;±284;±279;±57
"Block Group 2; Census Tract 1041.03; Los Angeles County; California!!Estimate";2.073;665;257;36;5;0;223;887;790;97
"Block Group 2; Census Tract 1041.03; Los Angeles County; California!!Margin of Error";±808;±318;±70;±34;±8;±13;±130;±796;±793;±82
"Block Group 1; Census Tract 1041.05; Los Angeles County; California!!Estimate";1.727;507;35;14;245;0;577;349;309;40
"Block Group 1; Census Tract 1041.05; Los Angeles County; California!!Margin of Error";±510;±343;±56;±24;±115;±13;±346;±292;±272;±64
"Block Group 2; Census Tract 1041.05; Los Angeles County; California!!Estimate";3.011;1.309;54;0;63;0;1.082;503;503;0
"Block Group 2; Census Tract 1041.05; Los Angeles County; California!!Margin of Error";±635;±425;±65;±13;±74;±13;±532;±368;±368;±13
"Block Group 3; Census Tract 1041.05; Los Angeles County; California!!Estimate";1.457;222;75;49;0;0;853;258;258;0
"Block Group 3; Census Tract 1041.05; Los Angeles County; California!!Margin of Error";±590;±247;±79;±87;±13;±13;±536;±236;±236;±13
"Block Group 1; Census Tract 1041.08; Los Angeles County; California!!Estimate";1.820;615;121;0;0;0;690;394;357;37
"Block Group 1; Census Tract 1041.08; Los Angeles County; California!!Margin of Error";±633;±459;±130;±13;±13;±13;±375;±329;±324;±43
"Block Group 2; Census Tract 1041.08; Los Angeles County; California!!Estimate";1.750;1.025;48;0;71;0;440;166;107;59
"Block Group 2; Census Tract 1041.08; Los Angeles County; California!!Margin of Error";±539;±424;±61;±13;±78;±13;±277;±103;±83;±66
"Block Group 3; Census Tract 1041.08; Los Angeles County; California!!Estimate";1.392;272;129;19;0;0;234;738;713;25
"Block Group 3; Census Tract 1041.08; Los Angeles County; California!!Margin of Error";±451;±191;±66;±26;±13;±13;±228;±491;±499;±34
"Block Group 1; Census Tract 1041.24; Los Angeles County; California!!Estimate";1.404;599;236;124;9;0;286;150;132;18
"Block Group 1; Census Tract 1041.24; Los Angeles County; California!!Margin of Error";±514;±449;±186;±185;±12;±13;±306;±121;±119;±36
"Block Group 2; Census Tract 1041.24; Los Angeles County; California!!Estimate";1.966;919;289;0;289;0;154;315;305;10
"Block Group 2; Census Tract 1041.24; Los Angeles County; California!!Margin of Error";±480;±339;±249;±13;±253;±13;±178;±289;±288;±15
"Block Group 3; Census Tract 1041.24; Los Angeles County; California!!Estimate";636;456;0;7;32;0;0;141;123;18
"Block Group 3; Census Tract 1041.24; Los Angeles County; California!!Margin of Error";±254;±198;±13;±11;±38;±13;±13;±159;±156;±30
"Block Group 1; Census Tract 1042.01; Los Angeles County; California!!Estimate";1.441;480;11;23;172;0;737;18;18;0
"Block Group 1; Census Tract 1042.01; Los Angeles County; California!!Margin of Error";±613;±294;±18;±36;±221;±13;±528;±45;±45;±13
"Block Group 2; Census Tract 1042.01; Los Angeles County; California!!Estimate";1.733;238;224;2;0;0;724;545;543;2
"Block Group 2; Census Tract 1042.01; Los Angeles County; California!!Margin of Error";±642;±183;±205;±3;±13;±13;±498;±364;±364;±4
"Block Group 3; Census Tract 1042.01; Los Angeles County; California!!Estimate";1.462;497;292;55;0;0;459;159;159;0
"Block Group 3; Census Tract 1042.01; Los Angeles County; California!!Margin of Error";±443;±289;±242;±49;±13;±13;±279;±164;±164;±13
"Block Group 1; Census Tract 1042.03; Los Angeles County; California!!Estimate";2.753;1.085;0;79;86;0;880;623;623;0
"Block Group 1; Census Tract 1042.03; Los Angeles County; California!!Margin of Error";±847;±508;±13;±112;±60;±13;±514;±515;±515;±13
"Block Group 2; Census Tract 1042.03; Los Angeles County; California!!Estimate";2.429;529;205;36;0;0;1.107;552;552;0
"Block Group 2; Census Tract 1042.03; Los Angeles County; California!!Margin of Error";±658;±294;±183;±58;±13;±13;±562;±416;±416;±13
"Block Group 1; Census Tract 1042.04; Los Angeles County; California!!Estimate";1.549;627;148;5;26;0;363;380;303;77
"Block Group 1; Census Tract 1042.04; Los Angeles County; California!!Margin of Error";±413;±180;±62;±8;±19;±13;±174;±309;±301;±79
"Block Group 2; Census Tract 1042.04; Los Angeles County; California!!Estimate";2.142;928;42;55;176;0;574;367;353;14
"Block Group 2; Census Tract 1042.04; Los Angeles County; California!!Margin of Error";±474;±298;±55;±78;±112;±13;±328;±269;±262;±15
"Block Group 1; Census Tract 1043.10; Los Angeles County; California!!Estimate";1.943;685;36;6;0;0;526;690;690;0
"Block Group 1; Census Tract 1043.10; Los Angeles County; California!!Margin of Error";±634;±458;±55;±10;±13;±13;±313;±401;±401;±13
"Block Group 2; Census Tract 1043.10; Los Angeles County; California!!Estimate";1.146;272;48;19;0;0;705;102;90;12
"Block Group 2; Census Tract 1043.10; Los Angeles County; California!!Margin of Error";±439;±188;±54;±31;±13;±13;±378;±88;±86;±18
"Block Group 3; Census Tract 1043.10; Los Angeles County; California!!Estimate";1.303;342;0;59;8;0;630;264;174;90
"Block Group 3; Census Tract 1043.10; Los Angeles County; California!!Margin of Error";±423;±193;±13;±78;±7;±13;±441;±202;±173;±135
"Block Group 1; Census Tract 1043.21; Los Angeles County; California!!Estimate";975;152;26;7;0;0;301;489;478;11
"Block Group 1; Census Tract 1043.21; Los Angeles County; California!!Margin of Error";±495;±141;±40;±12;±13;±13;±229;±396;±396;±16
"Block Group 2; Census Tract 1043.21; Los Angeles County; California!!Estimate";1.235;281;0;0;0;0;765;189;189;0
"Block Group 2; Census Tract 1043.21; Los Angeles County; California!!Margin of Error";±577;±232;±13;±13;±13;±13;±448;±257;±257;±13
"Block Group 3; Census Tract 1043.21; Los Angeles County; California!!Estimate";680;172;24;0;0;0;324;160;160;0
"Block Group 3; Census Tract 1043.21; Los Angeles County; California!!Margin of Error";±274;±160;±39;±13;±13;±13;±282;±263;±263;±13
"Block Group 1; Census Tract 1043.22; Los Angeles County; California!!Estimate";1.183;486;5;2;16;0;304;370;335;35
"Block Group 1; Census Tract 1043.22; Los Angeles County; California!!Margin of Error";±309;±237;±8;±4;±26;±13;±212;±292;±308;±40
"Block Group 2; Census Tract 1043.22; Los Angeles County; California!!Estimate";604;66;0;6;0;4;469;59;59;0
"Block Group 2; Census Tract 1043.22; Los Angeles County; California!!Margin of Error";±261;±105;±13;±48;±13;±9;±269;±101;±101;±13
"Block Group 1; Census Tract 1044.01; Los Angeles County; California!!Estimate";1.671;440;30;13;38;5;821;324;324;0
"Block Group 1; Census Tract 1044.01; Los Angeles County; California!!Margin of Error";±465;±239;±31;±19;±61;±9;±432;±212;±212;±13
"Block Group 2; Census Tract 1044.01; Los Angeles County; California!!Estimate";1.306;466;0;0;0;0;615;225;225;0
"Block Group 2; Census Tract 1044.01; Los Angeles County; California!!Margin of Error";±265;±215;±13;±13;±13;±13;±216;±175;±175;±13
"Block Group 1; Census Tract 1044.03; Los Angeles County; California!!Estimate";1.465;542;0;0;44;0;782;97;65;32
"Block Group 1; Census Tract 1044.03; Los Angeles County; California!!Margin of Error";±322;±298;±13;±13;±67;±13;±290;±74;±66;±41
"Block Group 2; Census Tract 1044.03; Los Angeles County; California!!Estimate";887;164;0;0;67;0;361;295;289;6
"Block Group 2; Census Tract 1044.03; Los Angeles County; California!!Margin of Error";±268;±127;±13;±13;±76;±13;±228;±190;±192;±11
"Block Group 1; Census Tract 1044.04; Los Angeles County; California!!Estimate";1.647;339;0;16;83;0;1.048;161;161;0
"Block Group 1; Census Tract 1044.04; Los Angeles County; California!!Margin of Error";±509;±198;±13;±25;±80;±13;±471;±145;±145;±13
"Block Group 2; Census Tract 1044.04; Los Angeles County; California!!Estimate";1.676;655;0;0;0;0;499;522;485;37
"Block Group 2; Census Tract 1044.04; Los Angeles County; California!!Margin of Error";±390;±239;±13;±13;±13;±13;±219;±350;±348;±53
"Block Group 1; Census Tract 1045; Los Angeles County; California!!Estimate";1.881;341;2;0;1;0;1.074;463;456;7
"Block Group 1; Census Tract 1045; Los Angeles County; California!!Margin of Error";±874;±211;±3;±13;±2;±13;±515;±643;±643;±11
"Block Group 2; Census Tract 1045; Los Angeles County; California!!Estimate";1.420;555;0;7;0;0;195;663;494;169
"Block Group 2; Census Tract 1045; Los Angeles County; California!!Margin of Error";±402;±237;±13;±11;±13;±13;±109;±373;±357;±244
"Block Group 1; Census Tract 1046.10; Los Angeles County; California!!Estimate";1.527;512;0;34;0;0;860;121;121;0
"Block Group 1; Census Tract 1046.10; Los Angeles County; California!!Margin of Error";±450;±278;±13;±55;±13;±13;±387;±108;±108;±13
"Block Group 2; Census Tract 1046.10; Los Angeles County; California!!Estimate";1.595;639;0;3;0;0;725;228;193;35
"Block Group 2; Census Tract 1046.10; Los Angeles County; California!!Margin of Error";±436;±374;±13;±6;±13;±13;±393;±201;±195;±53
"Block Group 1; Census Tract 1046.20; Los Angeles County; California!!Estimate";1.226;310;12;0;0;0;577;327;327;0
"Block Group 1; Census Tract 1046.20; Los Angeles County; California!!Margin of Error";±367;±223;±2;±13;±13;±13;±247;±199;±199;±13
"Block Group 2; Census Tract 1046.20; Los Angeles County; California!!Estimate";2.302;946;21;31;13;0;666;625;625;0
"Block Group 2; Census Tract 1046.20; Los Angeles County; California!!Margin of Error";±473;±366;±34;±50;±24;±13;±336;±348;±348;±13
"Block Group 1; Census Tract 1047.01; Los Angeles County; California!!Estimate";814;425;6;49;6;13;263;52;22;30
"Block Group 1; Census Tract 1047.01; Los Angeles County; California!!Margin of Error";±299;±202;±9;±74;±9;±22;±147;±55;±24;±48
"Block Group 2; Census Tract 1047.01; Los Angeles County; California!!Estimate";2.107;1.118;0;9;2;0;554;424;419;5
"Block Group 2; Census Tract 1047.01; Los Angeles County; California!!Margin of Error";±382;±402;±13;±13;±6;±13;±253;±257;±256;±7
"Block Group 3; Census Tract 1047.01; Los Angeles County; California!!Estimate";970;508;1;0;0;0;320;141;141;0
"Block Group 3; Census Tract 1047.01; Los Angeles County; California!!Margin of Error";±347;±320;±7;±13;±13;±13;±175;±143;±143;±13
"Block Group 1; Census Tract 1047.03; Los Angeles County; California!!Estimate";1.373;515;135;13;0;0;274;436;421;15
"Block Group 1; Census Tract 1047.03; Los Angeles County; California!!Margin of Error";±375;±281;±150;±29;±13;±13;±225;±249;±257;±23
"Block Group 2; Census Tract 1047.03; Los Angeles County; California!!Estimate";925;288;9;0;0;0;217;411;411;0
"Block Group 2; Census Tract 1047.03; Los Angeles County; California!!Margin of Error";±460;±155;±14;±13;±13;±13;±187;±440;±440;±13
"Block Group 1; Census Tract 1047.04; Los Angeles County; California!!Estimate";1.745;506;302;0;8;0;549;380;346;34
"Block Group 1; Census Tract 1047.04; Los Angeles County; California!!Margin of Error";±500;±346;±120;±13;±18;±13;±400;±226;±224;±47
"Block Group 2; Census Tract 1047.04; Los Angeles County; California!!Estimate";1.616;474;92;0;195;0;389;466;424;42
"Block Group 2; Census Tract 1047.04; Los Angeles County; California!!Margin of Error";±716;±321;±98;±13;±180;±13;±304;±511;±513;±54
"Block Group 3; Census Tract 1047.04; Los Angeles County; California!!Estimate";1.206;482;0;0;0;0;544;180;180;0
"Block Group 3; Census Tract 1047.04; Los Angeles County; California!!Margin of Error";±407;±242;±13;±13;±13;±13;±283;±194;±194;±13
"Block Group 1; Census Tract 1048.21; Los Angeles County; California!!Estimate";2.505;905;39;9;17;0;881;654;647;7
"Block Group 1; Census Tract 1048.21; Los Angeles County; California!!Margin of Error";±421;±300;±61;±12;±30;±13;±383;±273;±272;±14
"Block Group 2; Census Tract 1048.21; Los Angeles County; California!!Estimate";926;262;0;0;20;0;442;202;199;3
"Block Group 2; Census Tract 1048.21; Los Angeles County; California!!Margin of Error";±499;±161;±13;±13;±29;±13;±478;±131;±131;±5
"Block Group 1; Census Tract 1048.22; Los Angeles County; California!!Estimate";2.461;805;6;17;81;0;914;638;556;82
"Block Group 1; Census Tract 1048.22; Los Angeles County; California!!Margin of Error";±390;±282;±10;±27;±47;±13;±363;±246;±248;±58
"Block Group 1; Census Tract 1048.23; Los Angeles County; California!!Estimate";1.961;653;130;0;238;0;620;320;280;40
"Block Group 1; Census Tract 1048.23; Los Angeles County; California!!Margin of Error";±502;±394;±189;±13;±113;±13;±272;±330;±318;±66
"Block Group 2; Census Tract 1048.23; Los Angeles County; California!!Estimate";1.401;334;0;0;13;0;169;885;859;26
"Block Group 2; Census Tract 1048.23; Los Angeles County; California!!Margin of Error";±676;±292;±13;±13;±21;±13;±155;±637;±605;±42
"Block Group 1; Census Tract 1048.24; Los Angeles County; California!!Estimate";695;100;0;28;0;0;393;174;161;13
"Block Group 1; Census Tract 1048.24; Los Angeles County; California!!Margin of Error";±461;±124;±13;±29;±13;±13;±387;±163;±157;±36
"Block Group 2; Census Tract 1048.24; Los Angeles County; California!!Estimate";1.962;466;0;29;0;13;1.046;408;408;0
"Block Group 2; Census Tract 1048.24; Los Angeles County; California!!Margin of Error";±1,364;±330;±13;±47;±13;±31;±1,170;±339;±339;±13
"Block Group 1; Census Tract 1060.10; Los Angeles County; California!!Estimate";1.560;520;13;0;40;0;527;460;434;26
"Block Group 1; Census Tract 1060.10; Los Angeles County; California!!Margin of Error";±581;±195;±13;±13;±57;±13;±282;±499;±496;±26
"Block Group 2; Census Tract 1060.10; Los Angeles County; California!!Estimate";2.018;1.239;16;22;16;0;426;299;269;30
"Block Group 2; Census Tract 1060.10; Los Angeles County; California!!Margin of Error";±516;±412;±24;±26;±25;±13;±220;±207;±206;±32
"Block Group 1; Census Tract 1060.20; Los Angeles County; California!!Estimate";1.915;721;4;0;187;0;677;326;296;30
"Block Group 1; Census Tract 1060.20; Los Angeles County; California!!Margin of Error";±553;±384;±7;±13;±198;±13;±312;±282;±274;±47
"Block Group 2; Census Tract 1060.20; Los Angeles County; California!!Estimate";1.200;990;0;0;37;0;85;88;64;24
"Block Group 2; Census Tract 1060.20; Los Angeles County; California!!Margin of Error";±461;±464;±13;±13;±39;±13;±78;±85;±83;±24
"Block Group 3; Census Tract 1060.20; Los Angeles County; California!!Estimate";1.461;228;6;37;18;0;799;373;235;138
"Block Group 3; Census Tract 1060.20; Los Angeles County; California!!Margin of Error";±899;±128;±10;±62;±27;±13;±895;±202;±164;±134
"Block Group 1; Census Tract 1061.11; Los Angeles County; California!!Estimate";2.553;1.157;176;0;459;0;327;434;434;0
"Block Group 1; Census Tract 1061.11; Los Angeles County; California!!Margin of Error";±639;±452;±238;±13;±354;±13;±243;±411;±411;±13
"Block Group 2; Census Tract 1061.11; Los Angeles County; California!!Estimate";2.306;978;160;5;302;0;615;246;102;144
"Block Group 2; Census Tract 1061.11; Los Angeles County; California!!Margin of Error";±494;±320;±162;±2;±230;±13;±331;±129;±61;±110
"Block Group 1; Census Tract 1061.12; Los Angeles County; California!!Estimate";2.084;910;48;86;0;34;403;603;444;159
"Block Group 1; Census Tract 1061.12; Los Angeles County; California!!Margin of Error";±505;±312;±70;±134;±13;±51;±198;±490;±454;±222
"Block Group 2; Census Tract 1061.12; Los Angeles County; California!!Estimate";1.789;751;22;0;129;0;570;317;294;23
"Block Group 2; Census Tract 1061.12; Los Angeles County; California!!Margin of Error";±642;±343;±33;±13;±161;±13;±483;±238;±237;±35
"Block Group 3; Census Tract 1061.12; Los Angeles County; California!!Estimate";1.252;598;98;18;285;0;171;82;18;64
"Block Group 3; Census Tract 1061.12; Los Angeles County; California!!Margin of Error";±368;±287;±80;±29;±128;±13;±164;±80;±25;±76
"Block Group 1; Census Tract 1061.13; Los Angeles County; California!!Estimate";2.446;1.225;71;68;254;1;393;434;420;14
"Block Group 1; Census Tract 1061.13; Los Angeles County; California!!Margin of Error";±497;±401;±64;±103;±123;±10;±206;±405;±404;±19
"Block Group 2; Census Tract 1061.13; Los Angeles County; California!!Estimate";1.425;504;0;27;168;0;297;429;426;3
"Block Group 2; Census Tract 1061.13; Los Angeles County; California!!Margin of Error";±379;±229;±13;±41;±132;±13;±204;±271;±272;±6
"Block Group 1; Census Tract 1061.14; Los Angeles County; California!!Estimate";1.386;1.016;9;0;55;0;199;107;94;13
"Block Group 1; Census Tract 1061.14; Los Angeles County; California!!Margin of Error";±446;±460;±15;±13;±79;±13;±120;±106;±105;±20
"Block Group 2; Census Tract 1061.14; Los Angeles County; California!!Estimate";2.003;462;47;36;0;0;1.363;95;95;0
"Block Group 2; Census Tract 1061.14; Los Angeles County; California!!Margin of Error";±515;±271;±91;±33;±13;±13;±461;±92;±92;±13
"Block Group 3; Census Tract 1061.14; Los Angeles County; California!!Estimate";3.411;1.177;74;0;700;0;507;953;905;48
"Block Group 3; Census Tract 1061.14; Los Angeles County; California!!Margin of Error";±992;±518;±84;±13;±636;±13;±350;±603;±608;±83
"Block Group 1; Census Tract 1064.03; Los Angeles County; California!!Estimate";917;547;15;4;40;69;179;63;56;7
"Block Group 1; Census Tract 1064.03; Los Angeles County; California!!Margin of Error";±393;±309;±18;±14;±50;±107;±212;±57;±55;±13
"Block Group 2; Census Tract 1064.03; Los Angeles County; California!!Estimate";1.292;660;30;0;7;0;442;153;136;17
"Block Group 2; Census Tract 1064.03; Los Angeles County; California!!Margin of Error";±358;±315;±96;±13;±12;±13;±251;±183;±181;±28
"Block Group 3; Census Tract 1064.03; Los Angeles County; California!!Estimate";1.492;433;16;19;5;0;815;204;197;7
"Block Group 3; Census Tract 1064.03; Los Angeles County; California!!Margin of Error";±540;±405;±28;±31;±7;±13;±321;±163;±155;±9
