Label (Grouping);Total:;    White alone;    Black or African American alone;    American Indian and Alaska Native alone;    Asian alone;    Native Hawaiian and Other Pacific Islander alone;    Some Other Race alone;    Two or More Races:;        Two races including Some Other Race;        Two races excluding Some Other Race, and three or more races
"Block Group 3; Census Tract 1175.10; Los Angeles County; California!!Margin of Error";±524;±216;±268;±33;±155;±13;±290;±432;±432;±13
"Block Group 1; Census Tract 1175.20; Los Angeles County; California!!Estimate";2.350;464;104;0;279;0;1.029;474;403;71
"Block Group 1; Census Tract 1175.20; Los Angeles County; California!!Margin of Error";±474;±218;±86;±13;±137;±13;±398;±300;±295;±62
"Block Group 2; Census Tract 1175.20; Los Angeles County; California!!Estimate";2.221;200;70;67;0;0;1.567;317;295;22
"Block Group 2; Census Tract 1175.20; Los Angeles County; California!!Margin of Error";±466;±92;±70;±87;±13;±13;±438;±274;±277;±25
"Block Group 1; Census Tract 1175.30; Los Angeles County; California!!Estimate";1.277;86;0;65;54;0;1.033;39;39;0
"Block Group 1; Census Tract 1175.30; Los Angeles County; California!!Margin of Error";±500;±58;±13;±94;±45;±13;±469;±61;±61;±13
"Block Group 2; Census Tract 1175.30; Los Angeles County; California!!Estimate";1.664;265;0;0;310;0;787;302;242;60
"Block Group 2; Census Tract 1175.30; Los Angeles County; California!!Margin of Error";±453;±214;±13;±13;±143;±13;±359;±232;±219;±79
"Block Group 3; Census Tract 1175.30; Los Angeles County; California!!Estimate";1.862;618;138;0;347;0;650;109;93;16
"Block Group 3; Census Tract 1175.30; Los Angeles County; California!!Margin of Error";±461;±290;±128;±13;±176;±13;±344;±112;±92;±23
"Block Group 4; Census Tract 1175.30; Los Angeles County; California!!Estimate";1.160;146;52;24;70;0;643;225;208;17
"Block Group 4; Census Tract 1175.30; Los Angeles County; California!!Margin of Error";±369;±99;±60;±41;±68;±13;±313;±197;±193;±27
"Block Group 1; Census Tract 1190.01; Los Angeles County; California!!Estimate";2.467;683;17;0;647;16;432;672;629;43
"Block Group 1; Census Tract 1190.01; Los Angeles County; California!!Margin of Error";±625;±319;±22;±13;±347;±24;±237;±426;±415;±36
"Block Group 2; Census Tract 1190.01; Los Angeles County; California!!Estimate";1.995;815;0;40;184;0;613;343;221;122
"Block Group 2; Census Tract 1190.01; Los Angeles County; California!!Margin of Error";±398;±260;±13;±68;±188;±13;±255;±235;±178;±171
"Block Group 1; Census Tract 1190.03; Los Angeles County; California!!Estimate";871;516;13;21;148;0;123;50;32;18
"Block Group 1; Census Tract 1190.03; Los Angeles County; California!!Margin of Error";±461;±462;±6;±31;±161;±13;±88;±58;±51;±29
"Block Group 2; Census Tract 1190.03; Los Angeles County; California!!Estimate";1.783;1.212;0;58;96;0;54;363;306;57
"Block Group 2; Census Tract 1190.03; Los Angeles County; California!!Margin of Error";±719;±701;±13;±96;±122;±13;±75;±300;±291;±80
"Block Group 3; Census Tract 1190.03; Los Angeles County; California!!Estimate";1.241;609;0;0;26;0;277;329;315;14
"Block Group 3; Census Tract 1190.03; Los Angeles County; California!!Margin of Error";±539;±499;±13;±13;±40;±13;±191;±230;±225;±22
"Block Group 1; Census Tract 1190.04; Los Angeles County; California!!Estimate";716;291;0;0;69;0;150;206;206;0
"Block Group 1; Census Tract 1190.04; Los Angeles County; California!!Margin of Error";±313;±225;±13;±13;±111;±13;±126;±148;±148;±13
"Block Group 2; Census Tract 1190.04; Los Angeles County; California!!Estimate";2.052;932;0;0;213;0;652;255;234;21
"Block Group 2; Census Tract 1190.04; Los Angeles County; California!!Margin of Error";±1,138;±972;±13;±13;±158;±13;±461;±247;±244;±34
"Block Group 1; Census Tract 1192.01; Los Angeles County; California!!Estimate";1.085;463;16;87;52;0;444;23;19;4
"Block Group 1; Census Tract 1192.01; Los Angeles County; California!!Margin of Error";±258;±211;±19;±115;±66;±13;±204;±29;±28;±7
"Block Group 2; Census Tract 1192.01; Los Angeles County; California!!Estimate";1.538;276;0;24;56;0;486;696;689;7
"Block Group 2; Census Tract 1192.01; Los Angeles County; California!!Margin of Error";±891;±174;±13;±43;±69;±13;±271;±827;±827;±10
"Block Group 3; Census Tract 1192.01; Los Angeles County; California!!Estimate";1.789;654;23;42;84;0;616;370;370;0
